с,В
9.5702,0.0102
9.5808,0.0000
9.5915,0.0152
9.6023,0.0000
9.6130,0.0102
9.6238,0.0000
9.6345,0.0152
9.6452,0.0000
9.6559,0.0051
9.6666,0.0051
9.6772,0.0000
9.6879,0.0051
9.6985,0.0000
9.7092,0.0102
9.7198,0.0000
9.7305,0.0102
9.7411,0.0000
9.7518,0.0102
9.7624,0.0000
9.7730,0.0102
9.7837,0.0000
9.7944,0.0102
9.8050,0.0000
9.8157,0.0102
9.8264,0.0051
9.8371,0.0000
9.8478,0.0051
9.8585,0.0000
9.8691,0.0102
9.8798,0.0000
9.8905,0.0102
9.9012,0.0000
9.9118,0.0102
9.9225,0.0000
9.9332,0.0152
9.9438,0.0000
9.9545,0.0102
9.9651,0.0000
9.9758,0.0051
9.9864,0.0051
9.9971,0.0051
10.0078,0.0102
10.0184,0.0000
10.0291,0.0102
10.0397,0.0000
10.0504,0.0102
10.0611,0.0000
10.0717,0.0102
10.0824,0.0000
10.0930,0.0102
10.1038,0.0000
10.1145,0.0102
10.1252,0.0000
10.1360,0.0102
10.1466,0.0051
10.1574,0.0000
10.1681,0.0051
10.1787,0.0000
10.1893,0.0102
10.2000,0.0000
10.2106,0.0102
10.2212,0.0000
10.2319,0.0102
10.2425,0.0000
10.2531,0.0152
10.2638,0.0000
10.2744,0.0051
10.2851,0.0000
10.2958,0.0051
10.3065,0.0051
10.3171,0.0000
10.3278,0.0102
10.3384,0.0000
10.3491,0.0102
10.3598,0.0000
10.3704,0.0102
10.3811,0.0000
10.3918,0.0102
10.4024,0.0000
10.4131,0.0102
10.4238,0.0000
10.4345,0.0102
10.4452,0.0000
10.4559,0.0051
10.4666,0.0051
10.4772,0.0000
10.4879,0.0102
10.4985,0.0000
10.5092,0.0102
10.5198,0.0000
10.5305,0.0102
10.5411,0.0000
10.5518,0.0102
10.5624,0.0000
10.5731,0.0102
10.5837,0.0000
10.5944,0.0102
10.6051,0.0000
10.6159,0.0051
10.6267,0.0051
10.6374,0.0000
10.6481,0.0102
10.6588,0.0000
10.6695,0.0102
10.6802,0.0000
10.6908,0.0102
10.7015,0.0000
10.7121,0.0152
10.7227,0.0000
10.7334,0.0102
10.7440,0.0000
10.7546,0.0051
10.7653,0.0000
10.7759,0.0051
10.7865,0.0051
10.7972,0.0000
10.8079,0.0051
10.8185,0.0000
10.8292,0.0102
10.8398,0.0000
10.8505,0.0102
10.8612,0.0000
10.8718,0.0102
10.8825,0.0000
10.8931,0.0102
10.9038,0.0000
10.9145,0.0051
10.9252,0.0051
10.9359,0.0000
10.9465,0.0051
10.9572,0.0051
10.9678,0.0102
10.9785,0.0000
10.9891,0.0102
10.9998,0.0000
11.0105,0.0102
11.0213,0.0000
11.0320,0.0102
11.0428,0.0000
11.0534,0.0102
11.0641,0.0000
11.0748,0.0051
11.0855,0.0051
11.0961,0.0000
11.1069,0.0051
11.1176,0.0051
11.1284,0.0102
11.1391,0.0000
11.1498,0.0102
11.1605,0.0000
11.1711,0.0102
11.1817,0.0000
11.1924,0.0152
11.2032,0.0000
11.2138,0.0102
11.2244,0.0000
11.2351,0.0102
11.2457,0.0051
11.2563,0.0051
11.2670,0.0102
11.2776,0.0000
11.2882,0.0102
11.2989,0.0000
11.3096,0.0152
11.3202,0.0000
11.3309,0.0102
11.3416,0.0000
11.3522,0.0102
11.3629,0.0000
11.3736,0.0102
11.3843,0.0000
11.3949,0.0102
11.4056,0.0051
11.4163,0.0051
11.4269,0.0051
11.4376,0.0000
11.4483,0.0102
11.4589,0.0000
11.4696,0.0102
11.4802,0.0000
11.4909,0.0102
11.5016,0.0000
11.5124,0.0102
11.5231,0.0000
11.5337,0.0102
11.5444,0.0000
11.5550,0.0102
11.5657,0.0051
11.5763,0.0000
11.5870,0.0102
11.5976,0.0000
11.6084,0.0152
11.6191,0.0000
11.6301,0.0102
11.6408,0.0000
11.6515,0.0102
11.6621,0.0000
11.6728,0.0102
11.6834,0.0000
11.6941,0.0102
11.7047,0.0000
11.7154,0.0000
11.7260,0.0051
11.7367,0.0051
11.7474,0.0102
11.7580,0.0000
11.7687,0.0102
11.7793,0.0000
11.7899,0.0102
11.8006,0.0000
11.8112,0.0102
11.8219,0.0000
11.8326,0.0102
11.8433,0.0000
11.8539,0.0102
11.8646,0.0000
11.8753,0.0051
11.8859,0.0051
11.8966,0.0000
11.9072,0.0051
11.9179,0.0000
11.9286,0.0102
11.9392,0.0000
11.9499,0.0102
11.9606,0.0000
11.9712,0.0102
11.9819,0.0000
11.9925,0.0102
12.0032,0.0000
12.0139,0.0102
12.0245,0.0000
12.0352,0.0000
12.0459,0.0051
12.0565,0.0000
