с,В
7.0893,0.0102
7.1001,0.0000
7.1108,0.0102
7.1216,0.0000
7.1323,0.0102
7.1431,0.0000
7.1538,0.0102
7.1645,0.0051
7.1752,0.0051
7.1859,0.0051
7.1965,0.0000
7.2072,0.0051
7.2178,0.0000
7.2284,0.0152
7.2391,0.0000
7.2497,0.0102
7.2603,0.0000
7.2710,0.0051
7.2816,0.0000
7.2922,0.0102
7.3029,0.0000
7.3136,0.0102
7.3242,0.0000
7.3350,0.0102
7.3456,0.0051
7.3563,0.0000
7.3670,0.0051
7.3776,0.0000
7.3883,0.0102
7.3990,0.0000
7.4096,0.0152
7.4203,0.0000
7.4310,0.0051
7.4416,0.0000
7.4523,0.0152
7.4629,0.0000
7.4736,0.0102
7.4843,0.0051
7.4950,0.0051
7.5056,0.0051
7.5163,0.0051
7.5269,0.0102
7.5376,0.0000
7.5483,0.0152
7.5589,0.0000
7.5696,0.0102
7.5803,0.0000
7.5909,0.0102
7.6016,0.0000
7.6123,0.0102
7.6231,0.0000
7.6338,0.0102
7.6446,0.0000
7.6552,0.0000
7.6659,0.0051
7.6765,0.0000
7.6872,0.0102
7.6980,0.0000
7.7086,0.0102
7.7193,0.0000
7.7299,0.0102
7.7406,0.0000
7.7513,0.0152
7.7620,0.0000
7.7726,0.0102
7.7833,0.0000
7.7939,0.0102
7.8047,0.0051
7.8154,0.0051
7.8260,0.0102
7.8367,0.0051
7.8474,0.0102
7.8580,0.0000
7.8687,0.0102
7.8794,0.0000
7.8900,0.0102
7.9007,0.0000
7.9114,0.0102
7.9220,0.0000
7.9327,0.0102
7.9434,0.0000
7.9540,0.0051
7.9647,0.0000
7.9753,0.0051
7.9860,0.0102
7.9967,0.0000
8.0073,0.0102
8.0180,0.0000
8.0287,0.0152
8.0394,0.0000
8.0500,0.0102
8.0607,0.0000
8.0714,0.0152
8.0820,0.0000
8.0927,0.0102
8.1034,0.0000
8.1142,0.0051
8.1251,0.0000
8.1357,0.0051
8.1464,0.0102
8.1570,0.0000
8.1676,0.0102
8.1783,0.0000
8.1889,0.0102
8.1995,0.0000
8.2102,0.0102
8.2208,0.0000
8.2314,0.0102
8.2421,0.0000
8.2527,0.0102
8.2634,0.0000
8.2740,0.0051
8.2847,0.0051
8.2953,0.0051
8.3060,0.0102
8.3166,0.0000
8.3274,0.0051
8.3380,0.0000
8.3487,0.0102
8.3594,0.0000
8.3701,0.0102
8.3807,0.0000
8.3914,0.0102
8.4020,0.0000
8.4127,0.0152
8.4234,0.0000
8.4342,0.0102
8.4449,0.0000
8.4555,0.0051
8.4662,0.0051
8.4768,0.0000
8.4875,0.0102
8.4981,0.0000
8.5087,0.0102
8.5194,0.0000
8.5300,0.0102
8.5408,0.0000
8.5515,0.0102
8.5621,0.0000
8.5728,0.0152
8.5834,0.0000
8.5941,0.0051
8.6049,0.0051
8.6156,0.0000
8.6264,0.0051
8.6370,0.0000
8.6477,0.0102
8.6583,0.0000
8.6689,0.0102
8.6795,0.0000
8.6902,0.0102
8.7008,0.0000
8.7115,0.0102
8.7221,0.0000
8.7328,0.0102
8.7435,0.0000
8.7541,0.0051
8.7648,0.0000
8.7755,0.0000
8.7861,0.0102
8.7968,0.0000
8.8074,0.0102
8.8181,0.0000
8.8288,0.0102
8.8394,0.0000
8.8501,0.0051
8.8607,0.0000
8.8714,0.0102
8.8821,0.0000
8.8927,0.0102
8.9034,0.0000
8.9140,0.0102
8.9247,0.0051
8.9354,0.0000
8.9461,0.0051
8.9568,0.0051
8.9674,0.0102
8.9781,0.0000
8.9888,0.0102
8.9994,0.0000
9.0101,0.0102
9.0207,0.0000
9.0314,0.0102
9.0421,0.0000
9.0528,0.0102
9.0634,0.0000
9.0741,0.0051
9.0847,0.0051
9.0955,0.0000
9.1062,0.0051
9.1170,0.0000
9.1277,0.0102
9.1383,0.0000
9.1490,0.0102
9.1596,0.0000
9.1702,0.0102
9.1808,0.0000
9.1915,0.0102
9.2021,0.0000
9.2127,0.0102
9.2234,0.0000
9.2340,0.0102
9.2446,0.0000
9.2553,0.0051
9.2660,0.0102
9.2766,0.0000
9.2873,0.0102
9.2979,0.0000
9.3086,0.0102
9.3193,0.0000
9.3299,0.0102
9.3406,0.0000
9.3512,0.0102
9.3619,0.0000
9.3726,0.0102
9.3832,0.0000
9.3939,0.0102
9.4045,0.0000
9.4153,0.0051
9.4259,0.0051
9.4366,0.0000
9.4474,0.0102
9.4581,0.0000
9.4687,0.0102
9.4794,0.0000
9.4900,0.0102
9.5006,0.0000
9.5113,0.0102
9.5220,0.0000
9.5326,0.0102
9.5433,0.0000
9.5540,0.0102
9.5647,0.0000
9.5753,0.0000
9.5860,0.0051
9.5967,0.0000
9.6074,0.0102
9.6183,0.0000
9.6290,0.0152
9.6397,0.0000
9.6505,0.0102
9.6611,0.0000
9.6717,0.0102
9.6824,0.0000
9.6930,0.0102
9.7036,0.0051
9.7142,0.0051
9.7249,0.0000
9.7355,0.0051
9.7462,0.0102
9.7569,0.0000
9.7676,0.0051
9.7782,0.0000
9.7889,0.0102
9.7996,0.0000
9.8102,0.0102
9.8209,0.0000
9.8316,0.0102
9.8423,0.0000
9.8530,0.0102
9.8638,0.0000
9.8744,0.0102
9.8850,0.0102
9.8957,0.0051
9.9063,0.0102
9.9169,0.0000
9.9276,0.0102
9.9382,0.0000
9.9489,0.0102
9.9595,0.0000
9.9702,0.0102
9.9808,0.0000
9.9915,0.0102
10.0021,0.0000
10.0127,0.0152
10.0234,0.0000
10.0340,0.0102
10.0447,0.0051
10.0553,0.0051
10.0661,0.0051
10.0850,0.0051
10.0958,0.0051
10.1065,0.0051
10.1172,0.0000
10.1280,0.0102
10.1387,0.0000
10.1495,0.0152
10.1602,0.0000
10.1710,0.0152
10.1816,0.0000
10.1923,0.0102
10.2029,0.0000
10.2136,0.0102
10.2243,0.0051
10.2349,0.0051
10.2456,0.0051
10.2562,0.0000
10.2668,0.0102
10.2775,0.0051
10.2882,0.0102
10.2988,0.0000
10.3096,0.0102
10.3203,0.0000
10.3310,0.0102
10.3416,0.0000
10.3523,0.0102
10.3629,0.0000
10.3736,0.0051
10.3842,0.0000
10.3949,0.0051
10.4056,0.0000
10.4162,0.0000
10.4269,0.0051
10.4376,0.0000
10.4482,0.0102
10.4589,0.0000
10.4695,0.0152
10.4802,0.0000
10.4909,0.0102
10.5016,0.0000
10.5123,0.0102
10.5229,0.0000
10.5336,0.0102
10.5443,0.0000
10.5549,0.0051
10.5656,0.0051
10.5762,0.0051
10.5869,0.0102
10.5977,0.0000
10.6085,0.0051
10.6192,0.0000
10.6300,0.0102
10.6406,0.0000
10.6513,0.0152
10.6619,0.0000
10.6726,0.0102
10.6832,0.0000
10.6940,0.0102
10.7047,0.0000
10.7154,0.0000
10.7261,0.0051
10.7367,0.0000
10.7474,0.0102
10.7581,0.0000
10.7687,0.0102
10.7793,0.0000
10.7900,0.0102
10.8007,0.0000
10.8114,0.0102
10.8221,0.0000
10.8328,0.0152
10.8434,0.0000
10.8541,0.0051
10.8647,0.0051
10.8754,0.0102
10.8860,0.0102
10.8967,0.0000
10.9075,0.0051
10.9182,0.0000
10.9289,0.0102
10.9396,0.0000
10.9503,0.0102
10.9609,0.0000
10.9716,0.0102
10.9822,0.0000
10.9929,0.0102
11.0036,0.0000
11.0144,0.0051
11.0251,0.0051
11.0357,0.0000
11.0464,0.0051
11.0570,0.0000
11.0676,0.0152
11.0783,0.0000
11.0889,0.0051
11.0996,0.0000
11.1103,0.0102
11.1211,0.0000
11.1318,0.0102
11.1425,0.0000
11.1531,0.0152
11.1638,0.0000
11.1744,0.0102
11.1850,0.0051
11.1957,0.0051
11.2063,0.0051
11.2169,0.0000
11.2276,0.0051
11.2382,0.0000
11.2489,0.0152
11.2595,0.0000
11.2702,0.0102
11.2808,0.0000
11.2914,0.0102
11.3021,0.0000
11.3127,0.0152
