с,В
4.5789,0.0051
4.5895,0.0102
4.6002,0.0000
4.6108,0.0102
4.6215,0.0000
4.6322,0.0102
4.6428,0.0000
4.6535,0.0102
4.6642,0.0000
4.6748,0.0102
4.6855,0.0000
4.6962,0.0102
4.7068,0.0000
4.7175,0.0051
4.7282,0.0051
4.7388,0.0051
4.7495,0.0102
4.7602,0.0000
4.7709,0.0102
4.7816,0.0000
4.7923,0.0102
4.8031,0.0000
4.8138,0.0102
4.8245,0.0000
4.8352,0.0102
4.8461,0.0000
4.8568,0.0102
4.8676,0.0051
4.8783,0.0000
4.8889,0.0051
4.8997,0.0000
4.9104,0.0102
4.9210,0.0000
4.9317,0.0102
4.9423,0.0000
4.9530,0.0051
4.9636,0.0000
4.9742,0.0102
4.9848,0.0000
4.9953,0.0102
5.0059,0.0000
5.0165,0.0102
5.0271,0.0051
5.0377,0.0102
5.0483,0.0051
5.0589,0.0000
5.0695,0.0051
5.0801,0.0051
5.0907,0.0102
5.1013,0.0000
5.1119,0.0102
5.1225,0.0000
5.1331,0.0102
5.1437,0.0000
5.1543,0.0102
5.1649,0.0000
5.1755,0.0102
5.1861,0.0000
5.1967,0.0051
5.2073,0.0000
5.2179,0.0051
5.2285,0.0051
5.2391,0.0000
5.2497,0.0102
5.2603,0.0000
5.2709,0.0102
5.2815,0.0000
5.2921,0.0102
5.3027,0.0000
5.3132,0.0152
5.3239,0.0000
5.3345,0.0152
5.3451,0.0000
5.3558,0.0102
5.3664,0.0000
5.3770,0.0102
5.3876,0.0051
5.3982,0.0051
5.4088,0.0051
5.4194,0.0000
5.4300,0.0102
5.4406,0.0000
5.4512,0.0102
5.4617,0.0000
5.4723,0.0102
5.4829,0.0000
5.4935,0.0102
5.5041,0.0000
5.5147,0.0102
5.5253,0.0000
5.5360,0.0051
5.5466,0.0000
5.5572,0.0102
5.5678,0.0000
5.5785,0.0051
5.5892,0.0051
5.5998,0.0000
5.6105,0.0102
5.6212,0.0000
5.6318,0.0102
5.6425,0.0000
5.6532,0.0152
5.6638,0.0000
5.6745,0.0102
5.6852,0.0000
5.6959,0.0102
5.7065,0.0000
5.7172,0.0051
5.7279,0.0000
5.7385,0.0000
5.7492,0.0102
5.7599,0.0000
5.7705,0.0102
5.7812,0.0000
5.7918,0.0102
5.8025,0.0000
5.8132,0.0102
5.8239,0.0000
5.8345,0.0152
5.8452,0.0000
5.8560,0.0102
5.8667,0.0000
5.8774,0.0051
5.8881,0.0000
5.8987,0.0051
5.9093,0.0000
5.9200,0.0000
5.9307,0.0102
5.9414,0.0000
5.9521,0.0102
5.9628,0.0000
5.9735,0.0102
5.9842,0.0000
5.9949,0.0102
6.0055,0.0000
6.0161,0.0102
6.0267,0.0000
6.0374,0.0102
6.0480,0.0000
6.0586,0.0000
6.0693,0.0051
6.0799,0.0000
6.0905,0.0102
6.1013,0.0000
6.1119,0.0102
6.1226,0.0000
6.1333,0.0102
6.1440,0.0000
6.1547,0.0102
6.1654,0.0000
6.1761,0.0102
6.1867,0.0000
6.1974,0.0102
6.2082,0.0051
6.2189,0.0051
6.2297,0.0051
6.2404,0.0000
6.2510,0.0102
6.2616,0.0000
6.2723,0.0102
6.2829,0.0000
6.2936,0.0102
6.3042,0.0000
6.3149,0.0152
6.3256,0.0000
6.3363,0.0051
6.3471,0.0000
6.3578,0.0051
6.3686,0.0000
6.3793,0.0051
6.3900,0.0051
6.4006,0.0051
6.4113,0.0051
6.4219,0.0000
6.4325,0.0102
6.4432,0.0000
6.4538,0.0102
6.4644,0.0000
6.4751,0.0102
6.4857,0.0000
6.4964,0.0102
6.5071,0.0000
6.5178,0.0102
6.5285,0.0051
6.5391,0.0051
6.5498,0.0051
6.5605,0.0000
6.5711,0.0102
6.5818,0.0000
6.5925,0.0152
6.6032,0.0000
6.6138,0.0102
6.6245,0.0000
6.6352,0.0051
6.6458,0.0000
6.6565,0.0102
6.6671,0.0000
6.6778,0.0102
6.6884,0.0000
6.6990,0.0051
6.7097,0.0051
6.7204,0.0000
6.7312,0.0051
6.7418,0.0000
6.7526,0.0152
6.7633,0.0000
6.7739,0.0102
6.7846,0.0000
6.7952,0.0102
6.8059,0.0000
6.8165,0.0152
6.8272,0.0000
6.8379,0.0102
